src_tags	tgt_tags	distinct_tags
['n', 'f', 'pl']	['n', 'mf', 'sg']	['sg', 'f', 'mf', 'pl']
['n', 'f', 'ND']	['n', 'mf', 'sg']	['sg', 'f', 'mf', 'ND']
['n', 'sg']	['n', 'sp']	['sg', 'sp']
['n', 'pl']	['n', 'sp']	['sp', 'pl']
['n', 'ND']	['n', 'sp']	['sp', 'ND']
['n', 'GD']	['n', 'f']	['f', 'GD']
['n', 'm', 'pl']	['n', 'f', 'pl']	['f', 'm']
['n', 'm', 'sg']	['n', 'f', 'pl']	['sg', 'f', 'm', 'pl']
['n', 'm', 'ND']	['n', 'f', 'pl']	['f', 'pl', 'm', 'ND']
['n', 'm', 'sg']	['n', 'mf', 'sp']	['sg', 'sp', 'mf', 'm']
['n', 'm', 'pl']	['n', 'mf', 'sp']	['sp', 'mf', 'm', 'pl']
['n', 'f', 'sg']	['n', 'mf', 'sp']	['sg', 'f', 'mf', 'sp']
['n', 'f', 'pl']	['n', 'mf', 'sp']	['sp', 'f', 'mf', 'pl']
['n', 'f', 'sg']	['n', 'f', 'pl']	['sg', 'pl']
['n', 'f', 'ND']	['n', 'f', 'pl']	['pl', 'ND']
['n', 'm', 'sp']	['n', 'm', 'sg']	['sp', 'sg']
['n', 'f', 'sg']	['n', 'm', 'sg']	['f', 'm']
['n', 'f', 'pl']	['n', 'GD', 'pl']	['f', 'GD']
['n', 'm', 'pl']	['n', 'f', 'sg']	['sg', 'f', 'm', 'pl']
['num', 'mf', 'sp']	['n', 'm', 'sg']	['num', 'sp', 'm', 'sg', 'n', 'mf']
['num', 'mf', 'pl']	['n', 'f', 'pl']	['num', 'f', 'n', 'mf']
['n', 'm', 'ND']	['n', 'GD', 'ND']	['m', 'GD']
['n', 'm', 'sp']	['n', 'm', 'ND']	['sp', 'ND']
['n', 'mf', 'sg']	['n', 'm', 'sp']	['sg', 'm', 'sp', 'mf']
['n', 'mf', 'pl']	['n', 'm', 'sp']	['sp', 'm', 'mf', 'pl']
['n', 'mf', 'ND']	['n', 'm', 'sp']	['sp', 'm', 'mf', 'ND']
['n', 'mf', 'sg']	['n', 'mf', 'sp']	['sg', 'sp']
['n', 'mf', 'pl']	['n', 'mf', 'sp']	['sp', 'pl']
['n', 'mf', 'ND']	['n', 'mf', 'sp']	['sp', 'ND']
['n', 'sp']	['n', 'ND']	['sp', 'ND']
['n', 'f', 'pl']	['n', 'm', 'sg']	['sg', 'f', 'm', 'pl']
['n', 'GD', 'ND']	['n', 'mf', 'sp']	['sp', 'GD', 'mf', 'ND']
['n', 'GD']	['n', 'sp']	['sp', 'GD']
['n', 'mf', 'sp']	['n', 'f', 'sp']	['f', 'mf']
['n', 'sg']	['n', 'pl']	['sg', 'pl']
['n', 'mf', 'sg']	['n', 'm', 'sg']	['m', 'mf']
['n', 'mf', 'pl']	['n', 'f', 'pl']	['f', 'mf']
['n', 'mf', 'ND']	['n', 'GD', 'ND']	['mf', 'GD']
['n', 'm', 'ND']	['n', 'mf', 'sp']	['sp', 'mf', 'm', 'ND']
['n', 'f', 'sp']	['n', 'm', 'ND']	['sp', 'f', 'm', 'ND']
['n', 'mf', 'pl']	['n', 'mf', 'sg']	['sg', 'pl']
['adj', 'm', 'pl']	['adj', 'f', 'pl']	['f', 'm']
['adj', 'm', 'ND']	['adj', 'GD', 'ND']	['m', 'GD']
['n', 'sp']	['n', 'pl']	['sp', 'pl']
['n', 'f', 'ND']	['n', 'm', 'ND']	['f', 'm']
['n', 'n', 'm', 'sg']	['n', 'n', 'm', 'sp']	['sg', 'sp']
['n', 'mf', 'pl']	['n', 'GD', 'ND']	['ND', 'GD', 'mf', 'pl']
['n', 'mf', 'sg']	['n', 'GD', 'ND']	['sg', 'ND', 'mf', 'GD']
['n', 'f', 'sp']	['n', 'f', 'ND']	['sp', 'ND']
['n', 'm', 'sp']	['n', 'f', 'pl']	['sp', 'f', 'm', 'pl']
['n', 'm']	['n']	['m']
['n', 'm', 'sp']	['abbr']	['sp', 'abbr', 'n', 'm']
['n', 'm', 'sp']	['n', 'f', 'sp']	['f', 'm']
['n', 'mf', 'ND']	['n', 'f', 'ND']	['f', 'mf']
['n', 'm']	['n', 'GD']	['m', 'GD']
['n', 'm', 'ND']	['n', 'mf', 'ND']	['mf', 'm']
['adj', 'm', 'sg']	['adj', 'm', 'ND']	['sg', 'ND']
['n', 'f', 'sg']	['n', 'm', 'pl']	['sg', 'f', 'm', 'pl']
['n', 'f', 'ND']	['n', 'm', 'pl']	['f', 'pl', 'm', 'ND']
['n', 'm', 'sg']	['n', 'mf', 'sg']	['mf', 'm']
['n', 'f', 'pl']	['n', 'mf', 'pl']	['f', 'mf']
['n', 'GD', 'ND']	['n', 'mf', 'ND']	['mf', 'GD']
['n', 'm', 'sg']	['n', 'f', 'ND']	['sg', 'f', 'm', 'ND']
['vbser', 'ger']	['vbser', 'pprs', 'mf', 'sg']	['sg', 'pprs', 'mf', 'ger']
['vblex', 'pri', 'p3', 'sg']	['vbser', 'pri', 'p3', 'ND']	['sg', 'vbser', 'vblex', 'ND']
['vblex', 'fti', 'p3', 'sg']	['vblex', 'fti', 'p3', 'pl']	['sg', 'pl']
['prn', 'tn', 'mf']	['prn', 'tn', 'f']	['f', 'mf']
['prn', 'tn', 'm']	['prn', 'tn', 'p3', 'm']	['p3']
['prn', 'tn', 'f']	['prn', 'tn', 'p3', 'f']	['p3']
['prn', 'tn', 'GD']	['prn', 'tn', 'p3', 'mf']	['p3', 'mf', 'GD']
['prn', 'tn', 'nt']	['prn', 'tn', 'nt', 'sg']	['sg']
['prn', 'tn', 'mf']	['prn', 'tn', 'GD']	['mf', 'GD']
['prn', 'mf']	['prn', 'GD']	['mf', 'GD']
['prn', 'tn', 'mf', 'sg']	['prn', 'tn', 'mf', 'sp']	['sg', 'sp']
['prn', 'tn', 'mf', 'pl']	['prn', 'tn', 'mf', 'sp']	['sp', 'pl']
['prn', 'tn', 'mf', 'ND']	['prn', 'tn', 'mf', 'sp']	['sp', 'ND']
['prn', 'tn', 'p3', 'nt']	['prn', 'tn', 'nt', 'sg']	['sg', 'p3']
['prn', 'pro', 'p3', 'mf']	['prn', 'pro', 'p3', 'f']	['f', 'mf']
['prn', 'pro', 'p3', 'mf', 'sp']	['prn', 'pro', 'p3', 'm', 'sg']	['sp', 'm', 'sg', 'mf']
['prn', 'enc', 'p3', 'mf', 'sg']	['prn', 'enc', 'p3', 'mf', 'sp']	['sg', 'sp']
['prn', 'tn', 'mf']	['prn', 'tn', 'm']	['m', 'mf']
['prn', 'tn', 'p1', 'm']	['prn', 'tn', 'p1', 'mf']	['mf', 'm']
['prn', 'tn', 'p1', 'f']	['prn', 'tn', 'p1', 'mf']	['f', 'mf']
['prn', 'tn', 'p1', 'GD']	['prn', 'tn', 'p1', 'mf']	['mf', 'GD']
['prn', 'itg', 'mf', 'sg']	['prn', 'itg', 'mf', 'sp']	['sg', 'sp']
['prn', 'itg', 'mf', 'pl']	['prn', 'itg', 'mf', 'sp']	['sp', 'pl']
['prn', 'itg', 'mf', 'ND']	['prn', 'itg', 'mf', 'sp']	['sp', 'ND']
['prn', 'tn', 'p2']	['prn', 'tn', 'p3']	['p2', 'p3']
['prn', 'tn', 'p2', 'm']	['prn', 'tn', 'p2', 'mf']	['mf', 'm']
['prn', 'tn', 'p2', 'f']	['prn', 'tn', 'p2', 'mf']	['f', 'mf']
['prn', 'tn', 'p2', 'GD']	['prn', 'tn', 'p2', 'mf']	['mf', 'GD']
['prn', 'tn', 'p3', 'f', 'pl']	['prn', 'tn', 'p3', 'mf', 'pl']	['f', 'mf']
['prn', 'tn', 'p3', 'm', 'pl']	['prn', 'tn', 'p3', 'mf', 'pl']	['mf', 'm']
['prn', 'tn', 'p3', 'GD']	['prn', 'tn', 'p3', 'mf']	['mf', 'GD']
['np', 'ant']	['np', 'cog', 'mf', 'sp']	['sp', 'cog', 'ant', 'mf']
['np', 'al']	['np', 'al', 'f', 'sg']	['sg', 'f']
['np', 'sg']	['np', 'pl']	['sg', 'pl']
